ID Pelanggan,Nama Pelanggan,Waktu Pembelian,Jumlah Pembelian
47,Ajeng Baswedan,2024-01-21 06:47:38,252452.62
48,Daniel Nugraheni,2024-11-05 21:23:26,138020.84
49,Faisal Ramdhan,2024-08-04 20:49:01,122779.44
50,Abdi Utama,2024-10-22 20:45:47,400809.95
51,Wulan Novitasari,2024-06-19 16:55:08,136643.58
52,Tariq Setiawan,2024-07-25 01:00:26,31091.53
53,Citra Pratama,2024-09-15 06:51:23,36710.88
54,Lutfi Kusnadi,2024-06-25 20:13:59,256143.26
55,Pandu Susanti,2024-03-20 23:04:56,169696.55
56,Nurul Sari,2024-05-14 18:56:21,321456.63
57,Udin Syahrul,2024-10-24 18:29:35,340888.17
58,Alya Supriyadi,2024-07-11 23:10:49,297040.92
59,Siska Rahayu,2024-04-06 13:14:17,102437.12
60,Reza Rohman,2024-07-20 20:53:07,109848.43
61,Zain Utama,2024-01-19 16:11:42,255029.99
62,Kirana Andini,2024-12-06 22:23:52,488336.3
63,Zara Nugroho,2024-09-28 20:05:53,478171.97
64,Elok Yudhoyono,2024-11-03 20:50:19,319541.67
65,Aisyah Baswedan,2024-09-25 20:08:12,114929.14
66,Gilang Mahardika,2024-04-18 20:10:45,449919.57
67,Citra Pratama,2024-12-16 19:06:03,197959.89
68,Xenia Uno,2024-05-19 20:24:57,55942.76
69,Cahya Supriyadi,2024-11-03 15:48:13,43045.1
70,Xenia Basuki,2024-02-11 17:39:19,242308.06
71,Sekar Yusuf,2024-01-06 19:27:47,211937.74
72,Putri Satya,2024-08-03 19:28:59,385082.38
73,Farras Setiawan,2024-12-26 21:04:34,19415.37
74,Maya Anggara,2024-02-11 21:23:07,414197.35
75,Aditya Baswedan,2024-01-22 19:16:22,175264.91
76,Kirana Kurniawan,2024-03-02 04:31:48,148364.35
77,Mega Saputra,2024-02-09 10:27:32,251658.99
78,Fikri Dwiputra,2024-06-05 08:27:19,120324.32
79,Mega Rohman,2024-12-28 21:20:01,56226.06
80,Neneng Subianto,2024-04-25 21:45:37,161938.02
81,Sekar Yusuf,2024-11-27 08:18:00,66225.51
82,Ulya Yap,2024-09-15 21:39:50,376654.33
83,Alex Ramadhan,2024-04-14 17:47:55,459798.58
84,Yusuf Subianto,2024-10-16 21:34:23,109282.89
85,Gilang Aji,2024-05-04 08:58:12,305924.34
86,Jihan Susanti,2024-02-05 04:05:09,426159.8
87,Tariq Nurfadilah,2024-03-25 11:47:35,447170.86
88,Faisal Wijaningsih,2024-05-10 16:36:29,35163.84
89,Odelia Wijanarko,2024-04-04 18:44:08,431098.78
90,Qomar Aji,2024-09-11 20:09:30,388283.73
91,Reza Kusnadi,2024-10-11 08:41:28,178495.64
92,Kartika Saputra,2024-11-24 20:48:03,233917.81
93,Siska Sulistyo,2024-07-09 21:20:34,394808.11
94,Wahyu Satya,2024-09-12 20:07:48,461199.48
95,Cahya Aji,2024-05-06 20:57:16,183783.67
96,Cahya Oktaviani,2024-08-16 18:29:10,13366.39
97,Alex Basuki,2024-02-28 03:58:35,51831.15
98,Sekar Agung,2024-04-24 20:59:31,318105.08
99,Mega Nugraha,2024-09-18 01:35:15,278629.14
100,Hafiz Baswedan,2024-12-01 11:43:37,297995.98
101,Salsa Yap,2024-07-22 16:29:19,31619.55
102,Galih Mahardika,2024-10-12 07:51:48,433448.27
103,Andi Aryani,2024-01-01 18:44:58,249901.09
104,Ali Intan,2024-06-14 19:00:12,336923.99
105,Alex Uno,2024-08-12 09:00:03,10708.8
106,Andi Dwiputra,2024-12-31 23:36:50,374203.88
107,Lusi Yuliana,2024-11-16 20:34:45,442026.45
108,Valen Putra,2024-10-29 11:31:08,245334.17
109,Siska Surya,2024-02-28 05:28:34,450719.48
110,Alya Susanti,2024-10-08 20:56:55,251477.22
111,Nanda Widodo,2024-04-16 21:21:26,171234.08
112,Bintang Baswedan,2024-05-04 01:50:40,288245.97
113,Danang Widodo,2024-03-09 02:02:32,354654.75
114,Nabila Almira,2024-05-23 20:02:37,311113.5
115,Ulya Widyawati,2024-04-14 07:51:55,242276.0
116,Ilham Syahrul,2024-06-14 23:18:14,497875.47
117,Pram Febriana,2024-08-04 19:33:45,429176.91
118,Omar Baswedan,2024-06-21 06:07:05,215551.83
119,Umar Ramdhan,2024-11-17 03:24:06,193806.79
120,Dian Amelia,2024-06-21 21:06:33,404586.7
121,Teguh Febriana,2024-09-28 18:22:46,190495.72
122,Udin Utama,2024-01-09 14:30:05,401879.06
123,Tari Utama,2024-11-11 08:09:52,428050.31
124,Xenia Bayhaqie,2024-11-20 19:44:53,317194.76
125,Erlangga Halim,2024-12-25 10:41:41,174452.59
126,Alya Irwansyah,2024-09-01 18:39:15,54270.76
127,Rizky Hidayat,2024-03-08 19:27:40,380441.3
128,Cahya Novitasari,2024-09-26 21:11:38,432463.99
129,Bagus Lestari,2024-09-01 12:53:27,316951.48
130,Iqbal Agung,2024-02-28 18:41:56,405846.38
131,Tono Oktaviani,2024-10-18 15:26:53,40577.6
132,Danang Yunita,2024-06-24 19:47:56,100727.8
133,Neneng Rosadi,2024-01-23 21:34:10,481233.69
134,Erlangga Irwansyah,2024-08-24 23:36:23,48054.19
135,Rina Satya,2024-01-14 21:36:43,436969.69
136,Tirta Surya,2024-03-13 19:25:42,354790.18
137,Kiki Firmansyah,2024-05-25 03:06:33,169844.88
138,Faisal Aji,2024-11-27 15:01:15,190399.88
139,Kiki Adinata,2024-07-20 05:18:14,356748.01
140,Zara Aji,2024-07-15 08:01:17,244020.0
141,Dimas Ramdhan,2024-03-31 18:37:20,104752.49
142,Kiki Utama,2024-01-24 20:43:44,270878.15
143,Bagus Harimurti,2024-11-30 18:41:31,217801.55
144,Bagus Hardiansyah,2024-08-28 20:25:34,475969.92
145,Faisal Ramdani,2024-01-04 21:19:35,429964.21
146,Zain Susanti,2024-09-16 11:18:58,41648.08
147,Citra Yuliana,2024-05-19 11:15:57,188873.73
148,Elok Supriyadi,2024-07-17 04:14:34,450944.16
149,Qomar Susanti,2024-07-29 09:50:50,106625.16
150,Kiki Ramdhan,2024-09-18 18:57:44,24061.34
151,Utami Irwansyah,2024-01-09 18:58:28,64167.62
152,Rafi Hidayat,2024-04-17 09:59:30,305353.67
153,Kiki Firmansyah,2024-01-08 16:29:35,250202.27
154,Wahyu Fadilah,2024-09-03 21:49:04,153362.42
155,Vina Yunita,2024-01-16 07:56:27,373185.58
156,Aisyah Surya,2024-10-03 23:49:31,14561.12
157,Dudung Baswedan,2024-11-30 19:47:56,340071.65
158,Utami Wijaningsih,2024-03-25 06:54:26,175698.61
159,Pram Wijaningsih,2024-01-25 21:48:02,480697.79
160,Jihan Rizal,2024-06-27 03:44:02,321570.05
161,Valen Baswedan,2024-10-30 20:07:07,204018.13
162,Siska Susanti,2024-08-20 22:02:12,250338.0
163,Zain Widodo,2024-10-08 22:38:01,357101.15
164,Wira Subianto,2024-03-18 21:41:49,296509.37
165,Kartika Anggara,2024-12-14 18:48:19,194933.49
166,Siska Putra,2024-12-20 18:03:29,134501.17
167,Ulya Syahrul,2024-05-05 01:26:26,109404.17
168,Kiki Novitasari,2024-05-05 19:26:04,157821.5
169,Qomar Andini,2024-12-20 19:08:26,52351.25
170,Nabila Dwiputra,2024-09-17 17:34:49,65825.97
171,Daniel Hartati,2024-07-19 16:49:13,234986.17
172,Wira Utama,2024-12-04 02:31:42,244428.63
173,Ani Uno,2024-02-23 18:10:47,370375.86
174,Zain Rosadi,2024-12-09 05:40:30,66622.2
175,Valen Hidayat,2024-07-05 08:45:06,190380.42
176,Laras Putra,2024-08-07 18:54:26,273013.09
177,Qomar Sutrisno,2024-10-22 20:33:11,122557.33
178,Yohan Setiawan,2024-11-26 20:06:13,332947.96
179,Wira Agung,2024-03-25 18:37:13,186455.89
180,Dudung Anggara,2024-09-14 13:42:11,255596.84
181,Jamil Nugraha,2024-07-09 09:16:22,11359.3
182,Dimas Rosadi,2024-09-15 21:02:02,148178.47
183,Eka Wijanarko,2024-01-18 20:52:47,69603.68
184,Teguh Andini,2024-04-11 20:17:17,169043.83
185,Zain Susanti,2024-10-21 06:01:32,472130.68
186,Bagus Sari,2024-12-20 18:42:18,269028.45
187,Mega Amelia,2024-12-12 20:53:55,243085.78
188,Ajeng Kusnadi,2024-11-23 19:49:26,316559.87
189,Valen Bayhaqie,2024-04-29 18:43:15,397858.51
190,Eric Aryani,2024-11-09 04:16:46,114667.04
191,Ilham Satya,2024-10-30 18:42:44,256017.36
192,Pandu Permadi,2024-03-14 03:34:16,349298.03
193,Nadya Sapari,2024-05-07 02:15:23,173732.2
194,Tono Ramdani,2024-07-27 05:56:00,239267.22
195,Lusi Anggara,2024-02-19 20:07:51,92388.8
196,Qila Anggara,2024-11-15 18:54:39,52216.63
197,Tono Febriana,2024-09-10 21:44:59,174732.11
198,Odelia Sapari,2024-02-10 20:53:01,19945.62
199,Aisyah Febriana,2024-08-20 15:44:31,427162.02
200,Lutfi Halim,2024-07-20 20:37:02,41234.99
201,Ulya Intan,2024-01-16 06:15:34,112642.6
202,Nanda Ramdani,2024-10-31 22:25:21,341888.98
203,Gilang Wijaya,2024-12-06 13:13:52,273010.56
204,Tariq Amelia,2024-11-28 19:41:55,142925.5
205,Hani Surya,2024-07-20 23:23:07,284781.08
206,Kirana Harimurti,2024-05-12 21:53:06,362646.98
207,Elok Sulistyo,2024-07-25 19:09:19,107026.39
208,Jihan Susanti,2024-08-21 18:31:53,249389.08
209,Yohan Setiawan,2024-04-24 00:43:20,132130.1
210,Elok Ramdhan,2024-02-05 14:58:43,227231.71
211,Gilang Uno,2024-11-24 12:49:05,12594.58
212,Ali Adinata,2024-10-31 13:10:02,146328.04
213,Yohan Harimurti,2024-01-06 20:48:23,459441.88
214,Tiara Harimurti,2024-03-01 09:39:40,209754.85
215,Mahesa Sutrisno,2024-03-09 19:45:41,480429.4
216,Lusi Fitriani,2024-08-11 11:59:40,365163.24
217,Veron Saputra,2024-07-11 18:20:48,107227.28
218,Dudung Baswedan,2024-05-25 19:28:06,182785.06
219,Maya Yuliana,2024-01-24 17:09:54,356539.5
220,Hanif Yudhoyono,2024-06-21 20:02:57,178814.28
221,Utami Sutrisno,2024-07-14 19:13:16,68672.26
222,Mila Anggara,2024-10-21 19:12:26,311290.73
223,Tirta Wijaningsih,2024-03-03 21:57:30,210720.82
224,Sekar Yusuf,2024-12-24 09:04:41,53419.95
225,Wulan Bayhaqie,2024-06-29 21:24:41,308394.75
226,Nanda Widodo,2024-06-19 18:34:18,28459.8
227,Pram Yuliana,2024-12-25 03:29:31,484663.38
228,Joko Wijaya,2024-08-09 19:26:42,98510.64
229,Tiara Kusuma,2024-06-17 21:19:57,238657.73
230,Andi Intan,2024-03-26 18:54:21,279205.51
231,Faisal Kusnadi,2024-05-25 04:45:03,28556.55
232,Bintang Wibowo,2024-08-15 23:37:30,392914.65
233,Putri Sulistyo,2024-01-14 21:19:48,27051.14
234,Bintang Sapari,2024-06-09 00:53:23,362801.73
235,Mila Wibowo,2024-01-25 21:56:08,30766.61
236,Farras Rahayu,2024-02-08 09:50:04,276527.36
237,Eka Kusnadi,2024-06-05 03:31:23,212907.85
238,Syifa Oktaviani,2024-12-14 09:32:43,15223.7
239,Oki Fitriani,2024-07-06 19:37:54,128030.17
240,Maya Basuki,2024-12-16 20:55:57,171239.66
241,Wira Wulandari,2024-08-11 19:16:04,39877.72
242,Mega Fitriani,2024-10-23 20:07:07,482097.4
243,Kirana Permadi,2024-01-27 20:19:41,323143.87
244,Rizky Fadilah,2024-01-30 13:28:34,375264.93
245,Xenia Sapari,2024-08-09 12:51:37,397629.81
246,Xenia Kusnadi,2024-06-03 06:25:04,245907.68
247,Ani Setiawan,2024-05-04 21:15:57,444662.53
248,Hani Yap,2024-09-16 19:15:24,483680.64
249,Iqbal Dwiputra,2024-08-20 03:11:36,112480.66
250,Budi Saputri,2024-11-23 18:45:39,261946.65
251,Aisyah Susanti,2024-09-04 18:13:43,407005.96
252,Nabil Hardiansyah,2024-04-28 09:25:58,282608.49
253,Kartika Subianto,2024-04-03 09:02:39,246223.81
254,Danu Wulandari,2024-06-25 18:32:24,154471.04
255,Teguh Yap,2024-10-04 20:55:48,456382.39
256,Maya Irwansyah,2024-04-20 21:31:36,395884.18
257,Zara Susanti,2024-10-01 22:30:55,32459.45
258,Omar Permana,2024-03-28 23:07:25,251089.3
259,Maya Wijaningsih,2024-05-29 19:28:07,20470.43
260,Hanif Irwansyah,2024-05-29 21:01:36,465044.44
261,Tono Lestari,2024-02-21 17:09:51,277582.17
262,Alya Yudhoyono,2024-10-03 20:01:05,425600.78
263,Iqbal Rosadi,2024-01-06 21:22:43,231608.39
264,Kiki Nurfadilah,2024-07-19 22:17:59,333000.93
265,Rina Susanti,2024-10-10 08:03:46,421926.07
266,Bintang Yap,2024-06-07 21:17:26,436283.58
267,Salsa Permadi,2024-11-25 17:21:34,483485.19
268,Dian Kusuma,2024-11-17 19:27:18,257457.42
269,Putri Syahrul,2024-11-26 21:05:18,93637.49
270,Jamal Ambarwati,2024-12-10 19:54:31,496015.14
271,Gita Hartati,2024-08-22 14:55:16,457854.73
272,Qila Wibowo,2024-10-21 21:37:38,387938.9
273,Kartika Hartati,2024-05-27 13:39:40,408017.77
274,Bintang Wijanarko,2024-01-24 13:07:16,73565.59
275,Utami Harimurti,2024-06-04 13:52:41,341024.08
276,Zain Surya,2024-04-14 21:00:46,110701.8
277,Udin Halim,2024-08-23 19:28:15,233455.63
278,Hani Sulistyo,2024-05-18 21:08:56,412626.41
279,Valen Subianto,2024-05-17 20:06:34,391901.44
280,Galih Hardiansyah,2024-10-21 19:35:49,315220.13
281,Aditya Sulistyo,2024-07-26 15:33:29,482149.97
282,Tariq Widodo,2024-07-10 21:57:46,39084.57
283,Nurul Fadilah,2024-07-25 06:52:58,22535.08
284,Veron Kurniawan,2024-10-05 21:31:34,320607.02
285,Cahya Widyawati,2024-09-06 04:19:34,74965.53
286,Farras Harimurti,2024-11-19 04:06:41,191226.45
287,Jamil Yap,2024-03-05 18:45:57,114002.86
288,Faisal Sulistyo,2024-01-06 18:56:22,251591.43
289,Iqbal Rohman,2024-08-22 19:07:00,487714.06
290,Hafiz Sutrisno,2024-02-23 18:15:23,178948.73
291,Pram Amelia,2024-10-20 19:41:40,194934.05
292,Neneng Pratama,2024-07-30 21:30:36,422441.48
293,Hafiz Hidayat,2024-08-12 11:34:26,276533.5
294,Qomar Wijaya,2024-06-04 06:13:16,298521.9
295,Hafiz Nugroho,2024-04-12 21:14:18,435468.63
296,Elok Anggara,2024-08-01 18:18:50,85114.39
297,Andi Rahayu,2024-08-10 10:46:40,341316.9
298,Jamal Maulana,2024-02-06 18:22:41,216194.83
299,Farras Susanti,2024-05-22 00:46:35,419420.59
300,Indra Wijaningsih,2024-05-10 21:33:20,405185.42
301,Erlangga Rosadi,2024-04-20 20:27:43,132585.51
302,Yusuf Subianto,2024-09-22 02:33:14,433169.51
303,Hani Rahayu,2024-07-21 13:41:33,233559.58
304,Tirta Rosadi,2024-03-22 18:43:55,168159.32
305,Wira Saputra,2024-04-09 18:00:43,250044.65
306,Fikri Ramdani,2024-07-13 08:06:21,480949.38
307,Qomar Satya,2024-11-13 05:35:06,134364.24
308,Rina Permadi,2024-10-21 21:39:08,152415.04
309,Dimas Supriyadi,2024-10-24 07:30:42,119586.21
310,Pandu Yunita,2024-02-29 19:13:40,232275.38
311,Elok Yunita,2024-03-06 20:37:25,422226.38
312,Bintang Syahrul,2024-07-07 19:32:07,415427.42
313,Reza Hidayat,2024-05-23 20:25:08,412530.67
314,Nabila Santoso,2024-12-15 05:01:45,414805.09
315,Laras Kusuma,2024-08-01 20:01:42,121426.04
316,Yohan Fadilah,2024-04-27 18:30:08,197123.1
317,Udin Nugraheni,2024-03-02 20:33:06,493150.23
318,Gilbert Nugraha,2024-02-18 06:09:56,358105.0
319,Teguh Rosadi,2024-11-25 17:27:20,252000.71
320,Alya Febriana,2024-02-18 20:20:43,86046.2
321,Niko Sutrisno,2024-10-18 20:06:49,193323.5
322,Joko Yap,2024-02-08 21:29:18,178875.54
323,Putri Yusuf,2024-07-31 18:09:24,492678.14
324,Tono Wulandari,2024-05-05 02:22:35,428379.85
325,Dian Sulistyo,2024-11-09 19:23:22,185256.98
326,Hafiz Yuliana,2024-12-25 19:57:13,87307.76
327,Lutfi Permana,2024-04-14 16:36:01,113479.55
328,Cindy Aryani,2024-04-29 20:52:24,469552.55
329,Pandu Firmansyah,2024-06-27 20:28:39,461151.73
330,Mahesa Surya,2024-09-13 18:11:50,366455.37
331,Vina Basuki,2024-06-08 19:34:02,490035.37
332,Fikri Hidayat,2024-09-30 20:24:04,279333.22
333,Reza Permadi,2024-10-02 18:05:01,410828.45
334,Mega Surya,2024-10-24 00:42:21,491031.93
335,Umar Harimurti,2024-12-11 11:01:55,95726.72
336,Siska Pratiwi,2024-07-11 20:17:41,112181.06
337,Valen Novitasari,2024-10-07 18:39:42,302677.81
338,Indra Rizal,2024-12-02 18:45:14,179553.15
339,Wulan Wijaya,2024-06-12 10:11:15,40140.06
340,Cahya Agung,2024-06-24 20:07:36,50903.9
341,Maya Adinata,2024-04-04 19:59:49,338401.79
342,Niko Kusuma,2024-11-17 18:24:45,18329.08
343,Alex Fitriani,2024-05-01 08:20:01,125217.15
344,Ali Harimurti,2024-07-03 19:15:41,445878.46
345,Hanif Saputra,2024-10-24 19:15:54,494013.73
346,Valen Lestari,2024-08-09 02:32:03,452581.35
347,Citra Ramadhan,2024-06-09 07:03:29,145138.27
348,Hafiz Subianto,2024-01-22 20:33:27,184223.04
349,Joko Wibowo,2024-11-22 21:31:28,61097.59
350,Dudung Sutrisno,2024-10-19 10:56:03,427516.38
351,Daniel Rizal,2024-11-07 18:56:37,125184.81
352,Faisal Yap,2024-08-21 09:56:58,353371.15
353,Mila Susanti,2024-09-06 21:41:00,190497.27
354,Cindy Yuliana,2024-04-20 13:11:55,55886.46
355,Aditya Santoso,2024-03-20 20:38:43,420689.98
356,Danu Yusuf,2024-03-22 19:57:26,404972.38
357,Ulya Uno,2024-10-02 05:55:02,328654.16
358,Salsa Ramdani,2024-03-23 18:18:23,414713.52
359,Dian Rohman,2024-12-03 18:33:13,493654.84
360,Mega Maulana,2024-11-30 18:35:59,77288.37
361,Teguh Santoso,2024-04-25 19:38:49,495890.23
362,Dudung Pratama,2024-09-28 21:55:58,306189.6
363,Mahesa Sari,2024-08-06 18:47:31,264935.39
364,Dian Susanti,2024-12-05 19:19:36,190751.96
365,Reza Widodo,2024-11-09 03:27:27,250177.08
366,Mahesa Sulistyo,2024-11-04 07:32:35,223188.3
367,Habib Novitasari,2024-08-19 07:12:09,422482.06
368,Iqbal Syahrul,2024-03-10 14:21:25,154897.32
369,Ulya Maulida,2024-06-23 20:12:25,326668.33
370,Hafiz Yusuf,2024-04-06 21:48:48,234788.7
371,Nadya Halim,2024-12-04 19:43:15,183426.3
372,Tiara Wibowo,2024-02-19 00:58:02,129730.37
373,Teguh Bayhaqie,2024-04-30 10:21:05,50621.75
374,Fikri Harimurti,2024-01-31 20:48:43,25012.42
375,Nanda Susanti,2024-12-22 12:21:27,113392.61
376,Ani Yusuf,2024-06-26 18:53:38,154945.02
377,Cahya Ramadhan,2024-02-16 19:44:36,142220.04
378,Lusi Aji,2024-03-29 20:08:38,27352.84
379,Vina Nugraha,2024-05-01 18:20:52,207495.0
380,Nadya Bayhaqie,2024-10-06 21:39:04,379950.59
381,Syifa Kurniawan,2024-10-13 13:04:30,435538.46
382,Habib Agung,2024-08-13 19:07:44,406202.45
383,Valen Satya,2024-11-11 19:13:19,215072.33
384,Veron Firmansyah,2024-01-06 20:45:31,304872.92
385,Cahya Bayhaqie,2024-07-22 18:42:54,485107.31
386,Ani Maulida,2024-11-16 23:12:41,161605.45
387,Reza Basuki,2024-06-22 01:43:00,182857.52
388,Pandu Pratama,2024-07-21 19:17:14,475408.82
389,Fikri Yudhoyono,2024-08-17 21:11:38,218756.44
390,Alex Susanti,2024-09-18 04:40:46,406606.47
391,Andi Sulistyo,2024-03-04 19:53:38,311825.5
392,Qila Saputri,2024-07-01 05:56:13,467353.99
393,Ulya Irwansyah,2024-06-18 20:22:36,52625.03
394,Yohan Amelia,2024-06-16 18:54:39,262362.91
395,Ulya Permadi,2024-09-10 18:09:41,176596.57
396,Jamal Kusuma,2024-02-28 20:32:37,481696.55
397,Rina Yuliana,2024-07-15 19:53:45,192046.62
398,Kartika Rosadi,2024-06-14 06:36:33,145472.11
399,Fikri Rizal,2024-11-27 21:12:57,274260.57
400,Ajeng Pratiwi,2024-06-11 20:29:57,230333.62
401,Indra Utama,2024-11-20 20:40:52,44190.6
402,Erlangga Satya,2024-05-05 20:13:42,384977.11
403,Wahyu Intan,2024-08-28 21:07:40,492628.4
404,Putri Lestari,2024-04-26 18:52:20,213991.75
405,Mahesa Hartati,2024-06-08 22:14:51,156847.42
406,Mega Uno,2024-05-17 19:13:07,73928.98
407,Dewi Saputri,2024-07-31 18:17:43,43022.14
408,Budi Harimurti,2024-09-29 03:29:24,397411.86
409,Iqbal Pratama,2024-01-24 18:17:28,72440.26
410,Daniel Yunita,2024-10-04 20:57:28,108282.3
411,Niko Wulandari,2024-01-31 19:17:26,369705.04
412,Nurul Permadi,2024-11-16 06:41:47,361795.41
413,Yusuf Yudhoyono,2024-10-05 15:51:52,112434.22
414,Oki Santoso,2024-11-24 19:44:21,447233.33
415,Syifa Anggara,2024-06-30 20:05:29,151140.83
416,Cahya Yunita,2024-05-23 15:32:49,19595.91
417,Fikri Ramdhan,2024-01-04 20:05:36,38446.81
418,Siska Irwansyah,2024-01-14 22:02:03,186881.81
419,Wahyu Sulistyo,2024-01-19 19:09:25,137740.59
420,Lutfi Permadi,2024-01-22 12:06:28,186337.91
421,Lutfi Widyawati,2024-04-28 21:06:04,21342.45
422,Dudung Wijanarko,2024-09-11 13:10:12,168181.42
423,Wira Bayhaqie,2024-05-21 21:11:18,311389.07
424,Aisyah Susanti,2024-12-31 21:15:18,162062.55
425,Rizky Kurniawan,2024-03-12 18:59:20,258353.64
426,Kartika Intan,2024-09-23 09:51:20,462801.58
427,Ulya Ambarwati,2024-04-24 20:25:06,188129.6
428,Dian Rahayu,2024-01-17 17:10:14,298091.04
429,Lutfi Wibowo,2024-09-11 21:43:31,248240.39
430,Teguh Utama,2024-09-05 18:14:12,233157.71
431,Eka Permadi,2024-05-12 12:53:40,32904.63
432,Tari Oktaviani,2024-12-14 21:43:09,18646.94
433,Dudung Supriyadi,2024-07-22 20:29:08,16924.71
434,Wahyu Ramdhan,2024-10-01 20:03:29,412625.19
435,Abdi Baswedan,2024-06-13 18:39:22,341504.74
436,Wulan Febriana,2024-07-03 04:53:41,298226.24
437,Omar Wulandari,2024-03-11 21:45:54,55238.71
438,Hani Ramadhan,2024-09-14 19:27:41,351819.18
439,Iqbal Irwansyah,2024-06-20 14:52:29,31140.01
440,Rafi Andini,2024-02-14 20:08:46,157404.3
441,Galih Widyawati,2024-04-25 04:23:42,296862.28
442,Mahesa Nurfadilah,2024-10-03 21:43:39,493310.95
443,Yanti Yap,2024-11-10 20:38:11,245638.69
444,Ajeng Sari,2024-11-05 19:45:01,317268.75
445,Laras Baswedan,2024-06-15 00:03:48,478994.64
446,Dian Nugraheni,2024-04-17 19:21:42,176594.0
447,Joko Pratama,2024-09-07 18:08:48,416079.28
448,Erlangga Fadilah,2024-12-04 18:29:17,180308.36
449,Laras Pratama,2024-10-12 18:58:18,400108.87
450,Farah Nugraha,2024-08-30 02:42:57,108136.71
451,Vina Yap,2024-03-16 08:08:37,366373.74
452,Kartika Uno,2024-05-03 21:59:39,378646.89
453,Tari Satya,2024-09-16 20:18:38,320948.19
454,Citra Lestari,2024-06-06 11:12:45,419423.57
455,Mega Saputra,2024-11-03 19:14:03,427382.28
456,Aditya Halim,2024-09-12 09:06:20,246414.75
457,Aditya Febriana,2024-09-04 21:48:13,478961.91
458,Tiara Amelia,2024-04-21 21:50:39,227357.25
459,Lutfi Dwiputra,2024-02-19 19:34:13,298887.25
460,Qila Setiawan,2024-10-19 21:05:16,304051.19
461,Lutfi Wulandari,2024-03-03 20:18:34,33302.08
462,Aisyah Wijanarko,2024-11-04 18:58:21,80995.52
463,Kartika Halim,2024-07-13 03:50:59,444579.09
464,Zain Supriyadi,2024-02-27 22:18:48,233674.23
465,Niko Yusuf,2024-09-22 19:02:54,196348.68
466,Nadya Maulana,2024-12-10 19:23:56,52249.84
467,Mahesa Hidayat,2024-04-23 20:44:56,239883.01
468,Aditya Hidayat,2024-01-19 18:54:13,255653.08
469,Siska Yuliana,2024-09-03 18:56:09,498071.25
470,Ani Febriana,2024-06-26 20:46:23,244779.63
471,Vina Aryani,2024-12-29 22:00:30,165168.51
472,Qomar Permadi,2024-08-11 21:12:34,476301.25
473,Kartika Yap,2024-02-13 19:34:15,267018.76
474,Ali Anggara,2024-03-30 21:34:01,300779.63
